,vh,vv,vv_by_vh
10,"[0.4614875018596649, 0.4743116945028305, 0.5507468581199646, 0.5368932783603668, 0.3982591927051544, 0.41203995048999786, 0.3847854882478714, 0.3543480634689331, 0.552776426076889, 0.3587867021560669, 0.5160034447908401, 0.6233677268028259, 0.7896788716316223, 0.38419802486896515, 0.4679723531007767, 0.4342780113220215, 0.45018796622753143, 0.8415127992630005]","[0.08937693387269974, 0.09549723193049431, 0.07532110437750816, 0.08970241621136665, 0.08674333989620209, 0.07806186378002167, 0.08456266298890114, 0.07100995257496834, 0.07444748282432556, 0.10569210723042488, 0.08379335328936577, 0.16081608831882477, 0.10142238438129425, 0.0971534289419651, 0.09420985355973244, 0.0595808494836092, 0.10330929234623909, 0.06244058161973953]","[5.163384800344183, 4.966758563725161, 7.311985965575202, 5.98527108896688, 4.591236551206297, 5.278377052988723, 4.550300033696604, 4.9901182949648115, 7.425051930651314, 3.3946404472176646, 6.158047440933793, 3.87627713943006, 7.786041281211153, 3.95454930467217, 4.967339778360502, 7.288885859901883, 4.357671570517928, 13.477017308835741]"
11,"[0.08286236971616745, 0.094290591776371, 0.22480947524309158, 0.3104187548160553, 0.12158392742276192, 0.10890409350395203, 0.11406487226486206, 0.17309512943029404, 0.03206429071724415, 0.05190715007483959, 0.029806850478053093, 0.09322002530097961, 0.0816309042274952, 0.07341207936406136, 0.05653282441198826, 0.22377713024616241, 0.12231139838695526, 0.026234681718051434]","[0.006103784777224064, 0.007560100639238954, 0.02439846843481064, 0.015621071681380272, 0.02788915764540434, 0.027246019802987576, 0.019948084838688374, 0.024183751083910465, 0.01331941969692707, 0.02574916835874319, 0.02115557622164488, 0.030208704993128777, 0.02566684503108263, 0.02826568577438593, 0.026217086240649223, 0.025884959846735, 0.02031875867396593, 0.007149667013436556]","[13.57557200007507, 12.472134469609768, 9.214081443011542, 19.871796324068004, 4.359541043463422, 3.9970643158679087, 5.718086382089101, 7.1574971487965255, 2.4073339114497396, 2.0158767596552063, 1.408935883654015, 3.085866319730796, 3.1804027385773326, 2.5972155761593663, 2.156335143160757, 8.645063835182597, 6.019629464061243, 3.6693571419127506]"
12,"[0.023941610008478165, 0.02001865766942501, 0.32063665986061096, 0.1533845216035843, 0.13571231067180634, 0.17449593544006348, 0.08029733598232269, 0.09383423626422882, 0.03416884317994118, 0.06193879619240761, 0.03284536674618721, 0.04642467200756073, 0.07552115619182587, 0.05882524698972702, 0.03106391616165638, 0.2142287790775299, 0.10511751472949982, 0.030008219182491302]","[0.0035604399163275957, 0.004807901568710804, 0.0157275702804327, 0.007294957991689444, 0.034254949539899826, 0.035575803369283676, 0.03461002930998802, 0.027460366487503052, 0.017164092510938644, 0.02267254702746868, 0.016400834545493126, 0.022237639874219894, 0.023066136986017227, 0.01974264159798622, 0.03293577954173088, 0.04512660205364227, 0.030095882713794708, 0.008078305050730705]","[6.724340410488561, 4.163699564837979, 20.386916360471, 21.02610073674487, 3.9618306987645675, 4.904904989179363, 2.3200597509794623, 3.417078803625286, 1.9907165588955802, 2.731885223012938, 2.0026643555899395, 2.087661832377314, 3.274113746814521, 2.979603651201736, 0.9431662645876415, 4.747283627135826, 3.492753999912363, 3.7146677420626713]"
13,"[0.1829231157898903, 0.17917358130216599, 0.2604433000087738, 0.28591203689575195, 0.41970767080783844, 0.2503451630473137, 0.3577108830213547, 0.2004692107439041, 0.19888567924499512, 0.25882697105407715, 0.2628103345632553, 0.3039904087781906, 0.24741937965154648, 0.23310045152902603, 0.2164260596036911, 0.24411563575267792, 0.26868100464344025, 0.28648942708969116]","[0.08038946613669395, 0.04547480493783951, 0.0542140007019043, 0.03878739848732948, 0.0650438666343689, 0.046524230390787125, 0.06069866009056568, 0.04648156277835369, 0.062022265046834946, 0.05458611063659191, 0.050854142755270004, 0.04154517874121666, 0.05240149423480034, 0.06413911283016205, 0.06447625160217285, 0.04969384893774986, 0.05751497112214565, 0.058189189061522484]","[2.275461258554056, 3.940062668703741, 4.803985993227495, 7.3712609776896905, 6.452686356534449, 5.380963015282631, 5.893225360949166, 4.312875875104225, 3.2066819729142484, 4.74162690903594, 5.16792379783101, 7.317104366591737, 4.721609245395007, 3.6342949137177376, 3.356678687512249, 4.912391391909992, 4.671496819025384, 4.923413295668901]"
14,"[0.08832462131977081, 0.07883575558662415, 0.015901675447821617, 0.010468214750289917, 0.018204979598522186, 0.012349346652626991, 0.01319978665560484, 0.01510203443467617, 0.010414278134703636, 0.015469618141651154, 0.012620735913515091, 0.017466625198721886, 0.010033202357590199, 0.018636753782629967, 0.014106358401477337, 0.009783996269106865, 0.02298794314265251, 0.009697334840893745]","[0.015906302258372307, 0.027658144012093544, 0.004646030720323324, 0.005673587322235107, 0.0038691649679094553, 0.0059837717562913895, 0.005087689030915499, 0.005943587981164455, 0.00416423799470067, 0.006102992687374353, 0.004546359181404114, 0.004579867236316204, 0.004783486016094685, 0.004571120720356703, 0.00520332669839263, 0.004611593205481768, 0.004202406853437424, 0.004537892993539572]","[5.552806672794175, 2.850363189668589, 3.4226367419961865, 1.8450786346875099, 4.7051443268800455, 2.0638064344019775, 2.594456260081135, 2.540895244174952, 2.5008844710500813, 2.5347594096997903, 2.7760094198314658, 3.8137841770214913, 2.0974666433291818, 4.077064449344857, 2.7110268524624757, 2.121608700758059, 5.470185049752898, 2.1369686007800266]"
15,"[0.016655157320201397, 0.11756191402673721, 0.01585491467267275, 0.011245249770581722, 0.01907387562096119, 0.015198781620711088, 0.009936556220054626, 0.010072152595967054, 0.013609154149889946, 0.018990392796695232, 0.010604461189359426, 0.017321443185210228, 0.015182137489318848, 0.013198886066675186, 0.015286356676369905, 0.015716908499598503, 0.019410348497331142, 0.009703852701932192]","[0.004479591967537999, 0.030639863573014736, 0.0034668404841795564, 0.004186057252809405, 0.00402168242726475, 0.0035893439780920744, 0.003443275927565992, 0.0044421046040952206, 0.004582839086651802, 0.004225287586450577, 0.0031930613331496716, 0.005957182729616761, 0.004902663640677929, 0.0045365754049271345, 0.005193206015974283, 0.003549791406840086, 0.0038329483941197395, 0.005202638218179345]","[3.7180076758989133, 3.8368941737154736, 4.573303774726424, 2.6863583299140625, 4.742760266611559, 4.234417685649076, 2.8857856381781906, 2.267428053513516, 2.9695902240008, 4.4944615977365885, 3.3210953636456044, 2.9076568524740476, 3.0967120328939184, 2.9094382631312583, 2.9435298020816285, 4.427558326191681, 5.064077702457262, 1.8651792215773249]"
16,"[0.1502246856689453, 0.221859872341156, 0.0775328055024147, 0.09513871371746063, 0.032002925872802734, 0.07487746328115463, 0.052513159811496735, 0.07732095569372177, 0.07001198083162308, 0.050603605806827545, 0.09406895935535431, 0.043484728783369064, 0.1837676465511322, 0.1136801689863205, 0.05358770489692688, 0.05678579583764076, 0.3680446743965149, 0.2957410216331482]","[0.028541387990117073, 0.03219124674797058, 0.030041178688406944, 0.026821494102478027, 0.0216362364590168, 0.021288882941007614, 0.0326683335006237, 0.03163137286901474, 0.021692544221878052, 0.02321207895874977, 0.03194159269332886, 0.030285704880952835, 0.057380154728889465, 0.018349893391132355, 0.007774977013468742, 0.005341075360774994, 0.03330492973327637, 0.020943617448210716]","[5.263398042203241, 6.8919316508032615, 2.580884269109422, 3.547107157936843, 1.4791355203305547, 3.517209591909694, 1.6074636868297598, 2.444438817559618, 3.22746747064424, 2.1800548712915937, 2.945030332660933, 1.4358169623028092, 3.202634210719718, 6.195140569113977, 6.892329688447421, 10.631903128474319, 11.05075667007896, 14.120818543618611]"
17,"[0.32272347807884216, 0.3467903733253479, 0.31613001227378845, 0.21644343435764313, 0.2212931513786316, 0.2967926859855652, 0.25974541902542114, 0.34098929166793823, 0.33991098403930664, 0.31692609190940857, 0.2682059705257416, 0.2971884310245514, 0.2931819558143616, 0.31660890579223633, 0.25717592239379883, 0.31046736240386963, 0.38234636187553406, 0.20599381625652313]","[0.05605905130505562, 0.08237341046333313, 0.06364366412162781, 0.06971462815999985, 0.04466450586915016, 0.06853269040584564, 0.0864279717206955, 0.05152064189314842, 0.052836183458566666, 0.05658790096640587, 0.04807958006858826, 0.0740165263414383, 0.04584744572639465, 0.0781792625784874, 0.09975077956914902, 0.06268218159675598, 0.05350799486041069, 0.10083359479904175]","[5.756848725867356, 4.209979547705077, 4.967187490488296, 3.104706143750643, 4.954563966898805, 4.330673204684952, 3.005339751172526, 6.618498511240121, 6.433299337486397, 5.600598122513076, 5.578375895611619, 4.015163176580605, 6.394728237729827, 4.049781174059803, 2.5781845866730286, 4.9530401542363895, 7.145593156181286, 2.0429085828692557]"
18,"[0.1991904079914093, 0.23986158519983292, 0.202719084918499, 0.5422335565090179, 0.174143485724926, 0.3791387975215912, 0.26407670974731445, 0.31533387303352356, 0.15257152915000916, 0.32944630086421967, 0.16142743825912476, 0.38518309593200684, 0.284161239862442, 0.19636034965515137, 0.33737044036388397, 0.26508858799934387, 0.20288769155740738, 0.2548894137144089]","[0.03972410410642624, 0.10935863852500916, 0.04872995242476463, 0.07510632276535034, 0.04091448150575161, 0.0652901716530323, 0.049366384744644165, 0.0790775865316391, 0.038980232551693916, 0.0531463623046875, 0.04305052384734154, 0.0794137455523014, 0.0660577230155468, 0.05417834408581257, 0.05720554105937481, 0.05255996808409691, 0.05457492545247078, 0.06856918334960938]","[5.014346137492524, 2.193348311893798, 4.160050950829102, 7.219546058766343, 4.256279911562499, 5.806981172241759, 5.3493224410354365, 3.987651708456705, 3.9140743695583478, 6.198849489933247, 3.749720649893863, 4.850332813962636, 4.301711092820504, 3.6243328024964745, 5.897513319797469, 5.043545452219402, 3.7175990599217945, 3.7172589968706538]"
19,"[0.10060598328709602, 0.1384347900748253, 0.04430611617863178, 0.03444027714431286, 0.08796785771846771, 0.07146231085062027, 0.10010498017072678, 0.07225145027041435, 0.3048568665981293, 0.19476427882909775, 0.11364401131868362, 0.08310167863965034, 0.029968686401844025, 0.26640719175338745, 0.2913520038127899, 0.3018222153186798, 0.06552815809845924, 0.04408693127334118]","[0.024568657390773296, 0.02198122814297676, 0.02140672318637371, 0.016056778840720654, 0.05287500284612179, 0.017942440696060658, 0.02311184909194708, 0.027221362106502056, 0.1418464258313179, 0.05224570259451866, 0.02491164766252041, 0.013794092927128077, 0.003960859728977084, 0.04020271077752113, 0.035045286640524864, 0.01716387178748846, 0.024085366167128086, 0.02856047172099352]","[4.094891376721236, 6.29786421278998, 2.069729018910961, 2.1449057426742963, 1.6636946190712096, 3.9828645422977567, 4.3313271808098905, 2.654218770821776, 2.14920372375587, 3.727852610973048, 4.561882572290115, 6.024439524850444, 7.566207453042932, 6.6265977244088194, 8.313585983796262, 17.58473956550363, 2.720662731210316, 1.5436345626229575]"
20,"[0.13172948360443115, 0.1633104383945465, 0.05558121204376221, 0.11633893847465515, 0.030308421701192856, 0.056554924696683884, 0.05152864381670952, 0.04936272278428078, 0.05473415181040764, 0.0332246758043766, 0.07234858721494675, 0.05301617830991745, 0.16736634075641632, 0.26853495836257935, 0.23264801502227783, 0.22496919333934784, 0.3214755952358246, 0.16492165625095367]","[0.03094913810491562, 0.04334479942917824, 0.02659589797258377, 0.022693505510687828, 0.017316492274403572, 0.024351222440600395, 0.03021594136953354, 0.02592393383383751, 0.028234440833330154, 0.02419864572584629, 0.03203802928328514, 0.023571008816361427, 0.035178132355213165, 0.03399337828159332, 0.02947884611785412, 0.009901975281536579, 0.012792729772627354, 0.0071148197166621685]","[4.256321554347541, 3.767705481285755, 2.089841527481335, 5.126530073543009, 1.750263345538712, 2.3224675818488185, 1.7053463000383429, 1.9041370457383873, 1.9385597941714907, 1.372997323105967, 2.2582096600021653, 2.2492112545101226, 4.757681251137079, 7.899625513477877, 7.892032615258049, 22.71962784625709, 25.129554125632122, 23.180019005221496]"
21,"[0.17676694691181183, 0.23002075403928757, 0.19147106260061264, 0.28489628434181213, 0.2607259005308151, 0.3702627569437027, 0.21083400398492813, 0.33991947770118713, 0.265352725982666, 0.29662635922431946, 0.23051098734140396, 0.24204512685537338, 0.2371242269873619, 0.22840608656406403, 0.4756886959075928, 0.374307319521904, 0.2531236857175827, 0.4643368721008301]","[0.07035081088542938, 0.03776874579489231, 0.04051876626908779, 0.038313815370202065, 0.03787920996546745, 0.05741681344807148, 0.04758066684007645, 0.05232416279613972, 0.034154707565903664, 0.05205283872783184, 0.05204433389008045, 0.06910998746752739, 0.05164393037557602, 0.04089782387018204, 0.05691155232489109, 0.035869698971509933, 0.04901260696351528, 0.04952227510511875]","[2.512649743294184, 6.090240732070977, 4.7254909324988015, 7.435863058508798, 6.883087075166183, 6.448681748571317, 4.431085522478344, 6.496415031532337, 7.769140621996285, 5.698562585131749, 4.42912744023685, 3.5023176204322533, 4.591521699895737, 5.58479803935464, 8.358385538177341, 10.435195450600336, 5.1644607663086886, 9.376323505234819]"
22,"[0.3920937776565552, 0.35082943737506866, 0.1587042137980461, 0.2064950093626976, 0.31866654753685, 0.3983885794878006, 0.05038367956876755, 0.06994693726301193, 0.04375266283750534, 0.060312919318675995, 0.11903336644172668, 0.11196087673306465, 0.1201857291162014, 0.12730319797992706, 0.32195673882961273, 0.10725931450724602, 0.15263454616069794, 0.1300080120563507]","[0.0085481028072536, 0.010652958415448666, 0.04515822045505047, 0.03443838842213154, 0.02805435750633478, 0.027261821553111076, 0.01778245158493519, 0.02546376083046198, 0.03478265181183815, 0.02444704994559288, 0.02797402534633875, 0.020066531375050545, 0.03167681582272053, 0.051268571987748146, 0.05869056656956673, 0.021368008106946945, 0.010397974867373705, 0.01233689021319151]","[45.8690994361742, 32.932583015278105, 3.5144036279289814, 5.996070630006465, 11.35889665143441, 14.613424811385618, 2.833337086740685, 2.746920917484242, 1.2578874973130796, 2.4670837361932385, 4.255139007275756, 5.579483301846064, 3.7941227991102857, 2.4830650249113475, 5.485664181619256, 5.019621574945724, 14.6792570772245, 10.538151009671513]"
23,"[0.26692402362823486, 0.28345251083374023, 0.2957390993833542, 0.24664083123207092, 0.44565974175930023, 0.22958887368440628, 0.3268304020166397, 0.2072431668639183, 0.22531289607286453, 0.29025405645370483, 0.27872322499752045, 0.27997758984565735, 0.209541954100132, 0.21471146494150162, 0.2659105360507965, 0.23338249325752258, 0.25219303369522095, 0.27463217079639435]","[0.060591911897063255, 0.051137274131178856, 0.063422292470932, 0.06455321982502937, 0.07080445811152458, 0.045069197192788124, 0.059387050569057465, 0.05247741565108299, 0.04518148861825466, 0.05025237426161766, 0.04992980323731899, 0.043469032272696495, 0.052626803517341614, 0.07079515978693962, 0.043440163135528564, 0.04934161528944969, 0.0501168854534626, 0.05943754501640797]","[4.405274817564752, 5.542972629057611, 4.663014972517726, 3.8207363149442823, 6.294232787677558, 5.094141630753179, 5.503395081670021, 3.949187746627179, 4.986840915680486, 5.775927221719321, 5.582301690089469, 6.440851686995461, 3.9816583963926977, 3.032855149810847, 6.121306110688044, 4.7299321655451525, 5.032097094888342, 4.620516724245274]"
24,"[0.23868262767791748, 0.2285119891166687, 0.06551451981067657, 0.12811268866062164, 0.04783080890774727, 0.06885174661874771, 0.03690362721681595, 0.052196577191352844, 0.08824697881937027, 0.08952344954013824, 0.050991568714380264, 0.04539766535162926, 0.27700695395469666, 0.16943927109241486, 0.2083294540643692, 0.11104355752468109, 0.017594657838344574, 0.01219351775944233]","[0.04019363597035408, 0.028796112164855003, 0.027031809091567993, 0.031916942447423935, 0.01856166683137417, 0.021305758506059647, 0.01723836176097393, 0.017806876450777054, 0.042121950536966324, 0.02512139081954956, 0.022130977362394333, 0.02170971967279911, 0.08625966310501099, 0.04392180219292641, 0.0438486747443676, 0.009749628603458405, 0.0035933146718889475, 0.004571124445647001]","[5.938318888442051, 7.935515315694678, 2.4236084084772727, 4.013939896393861, 2.576859575288812, 3.2316026955419277, 2.14078505420175, 2.9312595802884394, 2.09503543151271, 3.5636342821620675, 2.304081192592369, 2.0911216743397025, 3.211315045567397, 3.8577486039428273, 4.751100353178389, 11.389516671977796, 4.896497925993035, 2.6675094726537134]"
25,"[0.08285249769687653, 0.0880248211324215, 0.04682731069624424, 0.059592029079794884, 0.019172164611518383, 0.03139251656830311, 0.10617382451891899, 0.05893766134977341, 0.05096641927957535, 0.0249443668872118, 0.04983890801668167, 0.04914028197526932, 0.16737301647663116, 0.21518462896347046, 0.13940775394439697, 0.19751635938882828, 0.32462844252586365, 0.24099023640155792]","[0.025707919150590897, 0.032767197117209435, 0.015155619010329247, 0.02145148441195488, 0.01598281180486083, 0.021310506388545036, 0.03694288805127144, 0.02941296249628067, 0.026114799082279205, 0.016568763181567192, 0.019510041922330856, 0.026028109714388847, 0.04596833139657974, 0.0645090751349926, 0.07279730215668678, 0.021411401219666004, 0.03045516461133957, 0.023058049380779266]","[3.2228395153861435, 2.6863701773927615, 3.0897656284662003, 2.777990927592141, 1.1995489182752923, 1.4731004508263315, 2.8739990325489693, 2.003798881436244, 1.9516297682014248, 1.5055056683387507, 2.554525931573572, 1.8879696802608608, 3.6410505100275294, 3.3357264619462, 1.9150126421490155, 9.22482173690776, 10.659224688773891, 10.451458075306345]"
